file_name,lzma,bz2,zlib,wavelets
client_storage/R2017_10_06/M171006_073313.lvm,935888,191796,175387,259294,1282
client_storage/R2017_10_06/M171006_045318.lvm,933833,202224,185149,267783,1255
client_storage/R2017_10_06/M171006_080648.lvm,935274,200488,181837,264911,1137
client_storage/R2017_10_06/M171006_082910.lvm,932098,202788,188188,270752,1200
client_storage/R2017_10_06/M171006_070342.lvm,927426,199236,176767,266179,1276
client_storage/R2017_10_06/M171006_071156.lvm,934888,199204,179797,263875,1153
client_storage/R2017_10_06/M171006_000143.lvm,935448,201068,184606,268270,1261
client_storage/R2017_10_06/M171006_061136.lvm,934641,196952,182096,264788,1235
client_storage/R2017_10_06/M171006_071920.lvm,933129,201160,182504,268143,1140
client_storage/R2017_10_06/M171006_054127.lvm,926049,200912,177220,268145,1031
client_storage/R2017_10_06/M171006_075122.lvm,924319,201576,183370,269180,1138
client_storage/R2017_10_06/M171006_052155.lvm,934886,193972,178186,260848,1183
client_storage/R2017_10_06/M171006_090201.lvm,925639,208536,187035,278471,1129
client_storage/R2017_10_06/M171006_090652.lvm,926279,203128,183520,272292,1206
client_storage/R2017_10_06/M171006_090300.lvm,919173,201400,180589,267335,1090
client_storage/R2017_10_06/M171006_052503.lvm,927964,204572,188587,278292,1299
client_storage/R2017_10_06/M171006_090229.lvm,924167,209264,197434,283565,1191
client_storage/R2017_10_06/M171006_062744.lvm,929650,196880,180295,267106,1203
client_storage/R2017_10_06/M171006_074126.lvm,929993,197664,172219,263570,1101
client_storage/R2017_10_06/M171006_040027.lvm,932516,200972,174947,264145,1108
client_storage/R2017_10_06/M171006_081822.lvm,935991,198596,185255,266393,1284
client_storage/R2017_10_06/M171006_083147.lvm,932029,200464,181846,267898,1172
client_storage/R2017_10_06/M171006_091027.lvm,927497,207396,194236,280484,1399
client_storage/R2017_10_06/M171006_074105.lvm,931447,202292,182229,268939,1175
client_storage/R2017_10_06/M171006_061501.lvm,931164,196832,176535,266472,1100
client_storage/R2017_10_06/M171006_071130.lvm,926426,202316,181267,270097,1183
client_storage/R2017_10_06/M171006_063808.lvm,933256,201344,178912,270179,1275
client_storage/R2017_10_06/M171006_055326.lvm,934143,200948,182459,266585,1287
client_storage/R2017_10_06/M171006_071546.lvm,928987,201912,171451,265812,1170
client_storage/R2017_10_06/M171006_081525.lvm,935297,197204,184382,264842,1186
client_storage/R2017_10_06/M171006_084229.lvm,929777,199840,181002,271831,1176
client_storage/R2017_10_06/M171006_061329.lvm,934359,199948,179485,268105,1265
client_storage/R2017_10_06/M171006_061559.lvm,927422,199372,179706,267383,1150
client_storage/R2017_10_06/M171006_081009.lvm,923371,211672,207484,285283,1144
client_storage/R2017_10_06/M171006_063716.lvm,936228,196312,178525,263914,1349
client_storage/R2017_10_06/M171006_064532.lvm,932395,202044,181225,270167,1261
client_storage/R2017_10_06/M171006_055831.lvm,927862,202388,181791,268740,1245
client_storage/R2017_10_06/M171006_082254.lvm,924625,194892,171701,260307,986
client_storage/R2017_10_06/M171006_044453.lvm,922369,206452,194344,276460,1114
client_storage/R2017_10_06/M171006_060024.lvm,931846,201832,181225,267604,1139
client_storage/R2017_10_06/M171006_060437.lvm,930373,201048,182134,266489,1085
client_storage/R2017_10_06/M171006_023342.lvm,928392,202912,178878,270246,1237
client_storage/R2017_10_06/M171006_070138.lvm,933537,196832,176220,262435,1214
client_storage/R2017_10_06/M171006_044910.lvm,922521,199824,179361,265121,1116
client_storage/R2017_10_06/M171006_090515.lvm,930262,203232,187873,272453,1180
client_storage/R2017_10_06/M171006_065957.lvm,924519,201312,176539,268663,1112
client_storage/R2017_10_06/M171006_070044.lvm,927840,197160,172661,257988,1028
client_storage/R2017_10_06/M171006_070650.lvm,930674,201712,179918,267254,1252
client_storage/R2017_10_06/M171006_070653.lvm,930013,199052,176742,263873,1213
client_storage/R2017_10_06/M171006_083934.lvm,921279,202476,180389,267737,1076
client_storage/R2017_10_06/M171006_060216.lvm,915658,212840,216027,292867,1229
client_storage/R2017_10_06/M171006_085738.lvm,925739,201872,186223,271631,1283
client_storage/R2017_10_06/M171006_083212.lvm,925878,202792,190205,274872,1223
client_storage/R2017_10_06/M171006_072702.lvm,934634,198732,177618,260791,1096
client_storage/R2017_10_06/M171006_073947.lvm,919862,199508,177302,266629,1043
client_storage/R2017_10_06/M171006_055324.lvm,926002,199576,171506,263295,1145
client_storage/R2017_10_06/M171006_065716.lvm,925331,203560,184425,271759,1224
client_storage/R2017_10_06/M171006_053016.lvm,932556,201424,178976,264679,1273
client_storage/R2017_10_06/M171006_004326.lvm,933130,197792,181207,270400,1214
client_storage/R2017_10_06/M171006_081331.lvm,930711,202644,183415,265602,1140
client_storage/R2017_10_06/M171006_060401.lvm,929521,197672,163812,260456,1118
client_storage/R2017_10_06/M171006_045434.lvm,929568,203864,185648,273045,1259
client_storage/R2017_10_06/M171006_061206.lvm,935280,199444,181696,265304,1228
client_storage/R2017_10_06/M171006_080832.lvm,932370,200976,182108,267152,1171
client_storage/R2017_10_06/M171006_060611.lvm,926670,198004,174507,266331,1093
client_storage/R2017_10_06/M171006_074826.lvm,936230,198708,177820,262491,1186
client_storage/R2017_10_06/M171006_060808.lvm,936331,197024,183230,266335,1279
client_storage/R2017_10_06/M171006_075924.lvm,926879,200064,179826,265105,1119
client_storage/R2017_10_06/M171006_054843.lvm,930827,199944,176987,268270,1228
client_storage/R2017_10_06/M171006_074430.lvm,919187,196748,176491,264990,1099
client_storage/R2017_10_06/M171006_054812.lvm,935772,199448,176679,261270,1322
client_storage/R2017_10_06/M171006_055405.lvm,935744,199176,182172,264695,1292
client_storage/R2017_10_06/M171006_085716.lvm,930094,200044,176989,265309,1105
client_storage/R2017_10_06/M171006_075645.lvm,931731,200348,177192,265920,1132
client_storage/R2017_10_06/M171006_071625.lvm,929446,203120,179038,269784,1238
