file_name,original_size,lzma,bz2,zlib,x264
client_storage/R2017_10_06/M171006_052420.avi,417280,295912,276379,306657,18173
client_storage/R2017_10_06/M171006_052503.avi,427520,306992,289459,317655,21319
client_storage/R2017_10_06/M171006_052509.avi,462848,346136,328601,354776,27842
client_storage/R2017_10_06/M171006_052517.avi,500736,380348,360775,390003,35977
client_storage/R2017_10_06/M171006_052521.avi,520704,407060,390202,414957,38220
client_storage/R2017_10_06/M171006_052538.avi,459264,341864,327479,349728,25779
client_storage/R2017_10_06/M171006_052542.avi,419328,297136,278690,307667,18589
client_storage/R2017_10_06/M171006_052547.avi,442368,319700,299055,330902,22798
client_storage/R2017_10_06/M171006_052549.avi,435200,314668,296041,325225,21927
client_storage/R2017_10_06/M171006_052552.avi,436224,316712,298927,326322,22417
client_storage/R2017_10_06/M171006_052556.avi,415232,292620,273252,304719,20550
client_storage/R2017_10_06/M171006_052647.avi,419840,299484,278828,311249,20288
client_storage/R2017_10_06/M171006_052654.avi,418816,295804,276564,307459,19190
client_storage/R2017_10_06/M171006_052659.avi,412672,287952,268932,299067,19021
client_storage/R2017_10_06/M171006_052704.avi,406528,276600,258834,288096,18176
client_storage/R2017_10_06/M171006_052709.avi,395264,267544,248608,279845,15543
client_storage/R2017_10_06/M171006_052714.avi,417280,297648,280181,307754,18042
client_storage/R2017_10_06/M171006_052722.avi,407552,287120,267787,299009,18729
client_storage/R2017_10_06/M171006_052741.avi,413696,296904,278126,308436,19373
client_storage/R2017_10_06/M171006_052759.avi,411648,289956,269155,301902,17935
client_storage/R2017_10_06/M171006_052849.avi,440832,321212,305712,330201,23573
client_storage/R2017_10_06/M171006_052903.avi,387072,262540,245268,274822,16697
client_storage/R2017_10_06/M171006_052916.avi,410624,287620,269868,298470,18702
client_storage/R2017_10_06/M171006_052939.avi,421376,302828,285172,314003,22575
client_storage/R2017_10_06/M171006_052945.avi,408064,288668,268517,300595,19922
client_storage/R2017_10_06/M171006_052949.avi,419840,301584,282586,313584,20218
client_storage/R2017_10_06/M171006_053000.avi,430080,305076,285322,316814,21561
client_storage/R2017_10_06/M171006_053016.avi,431104,310048,294472,319254,17465
client_storage/R2017_10_06/M171006_053018.avi,439808,314388,300036,324049,20217
client_storage/R2017_10_06/M171006_053024.avi,425984,301224,282028,312529,20802
client_storage/R2017_10_06/M171006_053033.avi,415744,290792,270269,303118,18529
client_storage/R2017_10_06/M171006_053041.avi,434688,303760,281879,316323,22381
client_storage/R2017_10_06/M171006_053058.avi,433664,314280,294333,325506,22921
client_storage/R2017_10_06/M171006_053102.avi,427520,304228,285619,314970,21287
client_storage/R2017_10_06/M171006_053116.avi,415232,294836,277706,305311,19781
client_storage/R2017_10_06/M171006_053119.avi,450048,326040,308282,335765,24606
client_storage/R2017_10_06/M171006_053124.avi,429056,308084,288076,318962,21453
client_storage/R2017_10_06/M171006_053137.avi,424960,304736,287180,314607,19484
client_storage/R2017_10_06/M171006_053157.avi,409088,288464,270818,299070,18190
client_storage/R2017_10_06/M171006_053203.avi,418304,295724,277194,306665,19319
client_storage/R2017_10_06/M171006_053206.avi,423424,298148,278811,310017,21051
client_storage/R2017_10_06/M171006_053214.avi,424960,303868,283846,314975,20581
client_storage/R2017_10_06/M171006_053235.avi,419328,291932,274734,302559,18212
client_storage/R2017_10_06/M171006_053244.avi,431104,315132,297047,324886,21969
client_storage/R2017_10_06/M171006_053250.avi,428544,303884,284245,315276,20872
client_storage/R2017_10_06/M171006_053319.avi,430080,309932,291785,319839,21128
client_storage/R2017_10_06/M171006_053330.avi,406528,287056,266752,299090,19588
client_storage/R2017_10_06/M171006_053339.avi,474624,358212,344873,365385,24703
client_storage/R2017_10_06/M171006_053348.avi,455680,341468,324810,350310,23222
client_storage/R2017_10_06/M171006_053356.avi,408576,288064,268871,299660,20233
client_storage/R2017_10_06/M171006_053359.avi,412160,293192,274672,304293,18777
client_storage/R2017_10_06/M171006_053422.avi,416768,285408,267456,296768,19404
client_storage/R2017_10_06/M171006_053437.avi,423936,301808,284858,312563,21591
client_storage/R2017_10_06/M171006_053438.avi,428032,312840,296831,323367,24146
client_storage/R2017_10_06/M171006_053446.avi,458240,341644,324074,351154,27817
client_storage/R2017_10_06/M171006_053452.avi,454656,337740,321207,346396,26285
client_storage/R2017_10_06/M171006_053457.avi,421376,295444,276236,306802,20426
client_storage/R2017_10_06/M171006_053522.avi,426496,304688,284922,315991,21853
client_storage/R2017_10_06/M171006_053556.avi,463360,342644,325210,351609,28113
client_storage/R2017_10_06/M171006_053613.avi,449024,333676,316641,343412,26302
client_storage/R2017_10_06/M171006_053644.avi,441856,326040,310166,334137,18369
client_storage/R2017_10_06/M171006_053657.avi,415232,295992,276704,307007,18979
client_storage/R2017_10_06/M171006_053719.avi,454656,339992,321395,349679,26836
client_storage/R2017_10_06/M171006_053723.avi,414208,290292,270515,301645,18697
client_storage/R2017_10_06/M171006_053729.avi,468480,353840,339609,361615,26265
client_storage/R2017_10_06/M171006_053731.avi,449024,327068,316068,335350,23459
client_storage/R2017_10_06/M171006_053740.avi,408576,281768,264099,292693,13943
client_storage/R2017_10_06/M171006_053744.avi,413696,294172,275040,305086,18605
client_storage/R2017_10_06/M171006_053827.avi,410624,285716,267924,296748,17917
client_storage/R2017_10_06/M171006_053906.avi,475136,353772,337725,362305,30497
